ID	CATEGORY	SOURCE	TITLE
0	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-64gb-gamepad-edition	Smartphone Motorola Moto Z 2 Play XT1710 64GB Gamepad Edition
1	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-a100	Smartphone LG A100
2	celular-e-smartphone	https://www.buscape.com.br/smartphone-alcatel-a7	Smartphone Alcatel A7
3	celular-e-smartphone	https://www.buscape.com.br/smartphone-positivo-one-s420	Smartphone Positivo One S420
4	celular-e-smartphone	https://www.buscape.com.br/celular-nokia-c2-01	Celular Nokia C2-01
5	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-z3-compact-d5833	Smartphone Sony Xperia Z3 Compact D5833
6	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-x-play-xt1563-32gb	Smartphone Motorola Moto X Play XT1563 32GB
7	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-spice-key-xt316	Smartphone Motorola Spice Key XT316
8	celular-e-smartphone	https://www.buscape.com.br/smartphone-positivo-twist-xl-s555	Smartphone Positivo Twist XL S555
9	celular-e-smartphone	https://www.buscape.com.br/smartphone-positivo-s400	Smartphone Positivo S400
10	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-x-force	Smartphone Motorola Moto X Force
11	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-g-4-xt1626	Smartphone Motorola Moto G 4 XT1626
12	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-g4-h818p	Smartphone LG G4 H818P
13	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-k4-lite-x230dsv	Smartphone LG K4 Lite X230DSV
14	celular-e-smartphone	https://www.buscape.com.br/smartphone-multilaser-ms50x	Smartphone Multilaser MS50X
15	celular-e-smartphone	https://www.buscape.com.br/smartphone-multilaser-ms60f	Smartphone Multilaser MS60F
16	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-s5-new-edition-sm-g903m	Smartphone Samsung Galaxy S5 New Edition SM-G903M
17	celular-e-smartphone	https://www.buscape.com.br/smartphone-positivo-twist-s530	Smartphone Positivo Twist S530
18	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-64gb-power-edition	Smartphone Motorola Moto Z 2 Play XT1710 64GB Power Edition
19	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-a3-sm-a300m	Smartphone Samsung Galaxy A3 SM-A300M
20	celular-e-smartphone	https://www.buscape.com.br/smartphone-zte-blade-l110	Smartphone ZTE Blade L110
21	celular-e-smartphone	https://www.buscape.com.br/celular-zte-smile-x630	Celular ZTE Smile X630
22	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-gran-prime-tv-sm-g530	Smartphone Samsung Galaxy Gran Prime TV SM-G530
23	celular-e-smartphone	https://www.buscape.com.br/celular-ipro-flip-2-4	Celular iPro Flip 2.4
24	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-sp	Smartphone Sony Xperia SP
25	celular-e-smartphone	https://www.buscape.com.br/smartphone-tcl-l9-5159j	Smartphone TCL L9 5159J
26	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-i1	Smartphone Motorola I1
27	celular-e-smartphone	https://www.buscape.com.br/smartphone-mirage-71s	Smartphone Mirage 71S
28	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-s8-plus-sm-g955-128gb	Smartphone Samsung Galaxy S8+ Plus SM-G955 128GB
29	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-k8-novo-x240-16gb	Smartphone LG K8 Novo X240 16GB
30	celular-e-smartphone	https://www.buscape.com.br/smartphone-quantum-you-l	Smartphone Quantum YOU L
31	celular-e-smartphone	https://www.buscape.com.br/smartphone-multilaser-ms40g	Smartphone Multilaser MS40G
32	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-64gb-style-edition	Smartphone Motorola Moto Z XT1650 64GB Style Edition
33	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-xa1-ultra-64gb	Smartphone Sony Xperia XA1 Ultra 64GB
34	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-s7-sm-g930-32gb	Smartphone Samsung Galaxy S7 SM-G930 32GB
35	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-g-5-plus-xt1685-32gb	Smartphone Motorola Moto G 5 Plus XT1685 32GB
36	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-go-8gb	Smartphone Asus ZenFone Go 8GB
37	celular-e-smartphone	https://www.buscape.com.br/smartphone-alcatel-a2-xl-hd	Smartphone Alcatel A2 XL HD
38	celular-e-smartphone	https://www.buscape.com.br/smartphone-multilaser-ms80x-64gb	Smartphone Multilaser MS80X 64GB
39	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-3-zoom-64gb	Smartphone Asus ZenFone 3 Zoom 64GB
40	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-64gb-camera-360-edition	Smartphone Motorola Moto Z 2 Play XT1710 64GB Câmera 360 Edition
41	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-7-256gb-special-edition-red	Smartphone Apple iPhone 7 256GB Special Edition Red
42	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-selfie	Smartphone Asus ZenFone Selfie
43	celular-e-smartphone	https://www.buscape.com.br/smartphone-qbex-joy	Smartphone QbeX Joy
44	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-2-ze551ml-16gb-z3580	Smartphone Asus ZenFone 2 ZE551ML 16GB Z3580
45	celular-e-smartphone	https://www.buscape.com.br/smartphone-xiaomi-redmi-note-5a-16gb	Smartphone Xiaomi Redmi Note 5A 16GB
46	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-3-play-xt1929-64gb-style-edition	Smartphone Motorola Moto Z 3 Play XT1929 64GB Style Edition
47	celular-e-smartphone	https://www.buscape.com.br/celular-multilaser-vita-p9048	Celular Multilaser Vita P9048
48	celular-e-smartphone	https://www.buscape.com.br/smartphone-xiaomi-redmi-s2-32gb	Smartphone Xiaomi Redmi S2 32GB
49	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-6-16gb	Smartphone Apple iPhone 6 16GB
50	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-se-32gb	Smartphone Apple iPhone SE 32GB
51	celular-e-smartphone	https://www.buscape.com.br/smartphone-multilaser-ms50g	Smartphone Multilaser MS50G
52	celular-e-smartphone	https://www.buscape.com.br/smartphone-positivo-twist-s-s520	Smartphone Positivo Twist S S520
53	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-5s-16gb	Smartphone Apple iPhone 5S 16GB
54	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-note-9-sm-n9600-512gb	Smartphone Samsung Galaxy Note 9 SM-N9600 512GB
55	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-6s-plus-128gb	Smartphone Apple iPhone 6S Plus 128GB
56	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-se-128gb	Smartphone Apple iPhone SE 128GB
57	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-a5-sm-a510m-16gb	Smartphone Samsung Galaxy A5 SM-A510M 16GB
58	celular-e-smartphone	https://www.buscape.com.br/smartphone-apple-iphone-6-32gb	Smartphone Apple iPhone 6 32GB
59	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-z5-32gb	Smartphone Sony Xperia Z5 32GB
60	celular-e-smartphone	https://www.buscape.com.br/smartphone-tcl-t7-5186d	Smartphone TCL T7 5186D
61	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-qnote-lmq710baw-64gb	Smartphone LG QNote+ LMQ710BAW 64GB
62	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-xz1-64gb	Smartphone Sony Xperia XZ1 64GB
63	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635-32gb	Smartphone Motorola Moto Z Play XT1635 32GB
64	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-g7-thinq-lmg710emw-64gb	Smartphone LG G7 ThinQ LMG710EMW 64GB
65	celular-e-smartphone	https://www.buscape.com.br/smartphone-xiaomi-redmi-5-plus-64gb	Smartphone Xiaomi Redmi 5 Plus 64GB
66	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-g-xt1034-16gb	Smartphone Motorola Moto G XT1034 16GB
67	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-g-4-plus-xt1640	Smartphone Motorola Moto G 4 Plus XT1640
68	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-s6-sm-g920-32gb	Smartphone Samsung Galaxy S6 SM-G920 32GB
69	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-3-max-zc520tl-16gb	Smartphone Asus ZenFone 3 Max ZC520TL 16GB
70	celular-e-smartphone	https://www.buscape.com.br/celular-nokia-x3	Celular Nokia X3
71	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-64gb-stereo-speaker	Smartphone Motorola Moto Z 2 Play XT1710 64GB Stereo Speaker
72	celular-e-smartphone	https://www.buscape.com.br/smartphone-samsung-galaxy-a7-sm-a720-64gb	Smartphone Samsung Galaxy A7 SM-A720 64GB
73	celular-e-smartphone	https://www.buscape.com.br/smartphone-sony-xperia-z3-d6643	Smartphone Sony Xperia Z3 D6643
74	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-c-xt1755-16gb	Smartphone Motorola Moto C XT1755 16GB
75	celular-e-smartphone	https://www.buscape.com.br/smartphone-alcatel-a5-led	Smartphone Alcatel A5 LED
76	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-3-max-zc553kl-32gb-2gb-ram	Smartphone Asus ZenFone 3 Max ZC553KL 32GB 2GB RAM
77	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-4-selfie-pro-zd552kl-64gb-4gb-ram	Smartphone Asus ZenFone 4 Selfie Pro ZD552KL 64GB 4GB RAM
78	celular-e-smartphone	https://www.buscape.com.br/smartphone-alcatel-pixi-4-4-4034	Smartphone Alcatel Pixi 4 (4) 4034
79	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-64gb-power-pack-dtv-edition	Smartphone Motorola Moto Z 2 Play XT1710 64GB Power Pack & DTV Edition
80	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-max-pro-zb602kl-m1-64gb	Smartphone Asus ZenFone Max Pro ZB602KL (M1) 64GB
81	celular-e-smartphone	https://www.buscape.com.br/smartphone-lg-t585	Smartphone LG T585
82	celular-e-smartphone	https://www.buscape.com.br/smartphone-quantum-muv-16gb	Smartphone Quantum MÜV 16GB
83	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-g-5-plus-xt1677-16gb	Smartphone Motorola Moto G 5 Plus XT1677 16GB
84	celular-e-smartphone	https://www.buscape.com.br/smartphone-asus-zenfone-zoom-s-64gb-4gb-ram	Smartphone Asus ZenFone Zoom S 64GB 4GB RAM
85	celular-e-smartphone	https://www.buscape.com.br/smartphone-motorola-moto-e-4-xt1762-16gb	Smartphone Motorola Moto E 4 XT1762 16GB
