# Este arquivo mostra os resultados obtidos pela classificação feita por Bag of Words
ID	TITLE	SMARTPHONE
1041354	Acessório T - Jean Bag For Girls para DS Lite	False
1041782	Carrinho de Bebê Berço-Passeio - Pegasus Pink - Galzerano	False
1041834	Carrinho de Bebê para Gêmeos Berço-Passeio - Twin - Galzerano	False
1042568	Car Center - Calesita	False
1042584	Donka Trem com Som - Calesita	False
1043696	Interfone HDL AZ-01 Branco	False
1940486	LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3”, Android 4.1, Câmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e Cartão 4GB - Celular LG Optimus L7 II Dual	False
2277815	"Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3"", Android 4.2, Câmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos"	False
2961097	"Samsung Galaxy S5 SM-G900M Branco com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	False
2961099	"Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	False
3031744	Smartphone LG L90 Dual D410 Preto com Tela de 4.7”, Dual Chip, Android 4.4, Câmera 8MP e Processador Quad Core de 1.2 GHz	False
3076120	"Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3"", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e Câmera de 5MP"	False
3507499	Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, Câmera 2MP, FM, MP3 e Bluetooth	False
3507899	"Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	False
3580503	Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4”, Dual Chip, Android 4.4, Câmera 3MP, 3G, WiFi e Processador de 1GHz	False
3608270	LG G2 Lite D295 Branco com Tela de 4.5”, Dual Chip, Android 4.4, Câmera 8MP, 3G e Processador Quad Core de 1.2GHz	False
3638254	"Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP."	False
3638255	"Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP."	False
3842557	Smartphone Alcatel One Touch Pop C7 Branco com Tela 5”, Dual Chip, Câmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo	False
4174797	"Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core de1.2 Ghz"	False
